[1, 1, 1, 1, 1, 1] (False, [])
[1, 1, 1, 3, 5, 7] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 3, 5, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 3, 5, 9] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 3, 5, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 6, 6] (True, ['1+1=2', '2+1=3', '3*3=9', '9*6=54', '54+6=60'])
[1, 1, 1, 3, 6, 7] (True, ['1+1=2', '1*1=1', '2+1=3', '9*7=63', '63-3=60'])
[1, 1, 1, 3, 6, 8] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 6, 9] (True, ['1+1=2', '2+1=3', '3*3=9', '9*6=54', '54+6=60'])
[1, 1, 1, 3, 6, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 7, 7] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 7, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 3, 7, 9] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 7, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 8, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '8*8=64', '64-4=60'])
[1, 1, 1, 3, 8, 9] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 3, 8, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 9, 9] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 9, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 10, 10] (True, ['1+1=2', '2+1=3', '10*3=30', '10*3=30', '30+30=60'])
[1, 1, 1, 4, 4, 4] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 4, 4, 5] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 4, 4, 6] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 4, 4, 7] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
